timeframe,vix_bucket,trades,win_rate,avg_pnl_pts,total_pnl_pts,profit_factor,max_dd_pts,dd_start,dd_end,cagr_pct,sharpe_like,max_win_streak,max_loss_streak
60,12-15,812,53.07881773399015,8.343472906403887,6774.899999999956,1.4184529673540063,696.0999999999985,2024-01-23,2024-04-18,2.1190322883812396,1.9895448074659974,9,8
5,12-15,857,39.206534422403735,1.725204200700056,1478.4999999999482,1.0816832777176169,1673.9000000000342,2021-06-28,2025-01-02,0.4318465555161133,0.4963048876506223,6,10
15,12-15,854,43.20843091334894,1.6610070257610337,1418.4999999999227,1.069609041078409,1582.5500000000357,2024-03-28,2025-01-02,0.4146033570792129,0.42582703044618414,9,11
60,<12,247,50.607287449392715,4.4372469635626794,1095.9999999999818,1.2408129634715683,420.45000000002256,2023-05-31,2023-07-19,1.1207219729486573,1.3018363490427571,8,6
15,<12,260,42.30769230769231,-0.5419230769231105,-140.90000000000873,0.9735185219989836,1212.300000000021,2023-05-04,2023-11-08,-0.13956989019587862,-0.17301970745105674,5,6
5,<12,265,38.113207547169814,-1.3452830188680893,-356.50000000004366,0.928702851885916,1221.0500000000284,2020-01-02,2024-04-12,-0.3408703834072435,-0.4844151302108489,5,8
60,>15,1448,51.312154696132595,7.051691988950252,10210.849999999966,1.2625548497249306,1266.200000000008,2024-08-06,2025-05-05,1.7835120473271848,1.3111640532788733,10,8
15,>15,1478,43.707713125845736,5.0872462787550825,7518.950000000012,1.1781952838013985,1708.0499999999956,2020-07-29,2021-03-24,1.281847267370173,0.9972716527053571,6,10
5,>15,1475,38.3728813559322,2.3094576271186464,3406.4500000000035,1.0886794982434356,1611.199999999999,2020-03-12,2020-03-31,0.5770409204376659,0.5063596073018922,5,10
60,ALL,2508,51.794258373205736,7.185506379585288,18021.2499999999,1.3019016642808243,1088.2999999999993,2020-10-28,2021-01-01,1.8195742375696877,1.4811171162113308,11,8
15,ALL,2593,43.386039336675665,3.3801195526416987,8764.649999999925,1.1290328991824878,1870.8999999999978,2023-01-27,2023-12-20,0.8487478237986235,0.7405358777021721,10,12
5,ALL,2598,38.60662047729022,1.730773672055392,4496.549999999908,1.0730605218411389,3269.7000000000808,2023-01-10,2025-02-04,0.4318225571842582,0.42506073510870884,6,13
