timeframe,vix_bucket,trades,win_rate,avg_pnl_pts,total_pnl_pts,profit_factor,max_dd_pts,dd_start,dd_end,cagr_pct,sharpe_like,max_win_streak,max_loss_streak
60,ALL,2508,51.794258373205736,7.185506379585288,18021.2499999999,1.3019016642808243,1088.2999999999993,2020-10-28,2021-01-01,1.8195742375696877,1.4811171162113308,11,8
15,ALL,2593,43.386039336675665,3.3801195526416987,8764.649999999925,1.1290328991824878,1870.8999999999978,2023-01-27,2023-12-20,0.8487478237986235,0.7405358777021721,10,12
5,ALL,2598,38.60662047729022,1.730773672055392,4496.549999999908,1.0730605218411389,3269.7000000000808,2023-01-10,2025-02-04,0.4318225571842582,0.42506073510870884,6,13
