date,timeframe_min,entry_time,exit_time,side,entry,exit,pnl_pts,exit_reason,or_high,or_low,or_range,vix_at_or,vix_bucket
2015-02-26,60,2015-02-26 10:20:00,2015-02-26 15:25:00,short,8734.15,8687.1,47.04999999999927,EOD,8783.6,8734.15,49.45000000000073,20.58,>15
2015-02-27,60,2015-02-27 10:47:00,2015-02-27 11:36:00,short,8722.95,8757.25,-34.29999999999927,SL,8757.25,8722.95,34.29999999999927,20.14,>15
2015-02-28,60,2015-02-28 10:41:00,2015-02-28 11:02:00,short,8895.75,8919.55,-23.799999999999272,SL,8919.55,8895.75,23.799999999999272,18.72,>15
2015-03-02,60,2015-03-02 10:19:00,2015-03-02 10:54:00,long,8969.2,8923.4,-45.80000000000109,SL,8969.2,8923.4,45.80000000000109,16.32,>15
2015-03-03,60,2015-03-03 10:18:00,2015-03-03 15:25:00,long,8964.85,8995.7,30.850000000000364,EOD,8963.4,8925.7,37.69999999999891,15.9,>15
2015-03-04,60,2015-03-04 11:04:00,2015-03-04 14:46:00,short,9059.9,8945.1,114.79999999999927,TP,9117.3,9059.9,57.399999999999636,14.82,12-15
2015-03-05,60,2015-03-05 12:46:00,2015-03-05 15:11:00,short,8892.65,8948.6,-55.95000000000073,SL,8948.6,8892.65,55.95000000000073,15.04,>15
2015-03-09,60,2015-03-09 10:22:00,2015-03-09 15:25:00,short,8803.7,8751.9,51.80000000000109,EOD,8877.3,8803.7,73.59999999999854,15.57,>15
2015-03-10,60,2015-03-10 10:39:00,2015-03-10 13:42:00,long,8769.75,8725.4,-44.350000000000364,SL,8769.75,8725.4,44.350000000000364,16.08,>15
2015-03-11,60,2015-03-11 10:17:00,2015-03-11 10:27:00,long,8744.5,8714.6,-29.899999999999636,SL,8744.5,8714.6,29.899999999999636,15.32,>15
2015-03-12,60,2015-03-12 15:03:00,2015-03-12 15:25:00,long,8773.25,8777.25,4.0,EOD,8773.2,8733.5,39.70000000000073,14.9,12-15
2015-03-13,60,2015-03-13 10:33:00,2015-03-13 15:25:00,short,8730.6,8661.25,69.35000000000036,EOD,8844.05,8730.6,113.44999999999891,14.96,12-15
2015-03-16,60,2015-03-16 12:00:00,2015-03-16 12:15:00,long,8649.15,8620.0,-29.149999999999636,SL,8649.15,8620.0,29.149999999999636,15.25,>15
2015-03-17,60,2015-03-17 11:26:00,2015-03-17 12:57:00,long,8730.6,8665.45,-65.14999999999964,SL,8730.6,8665.45,65.14999999999964,15.0,12-15
2015-03-18,60,2015-03-18 13:52:00,2015-03-18 15:25:00,short,8682.25,8682.25,0.0,EOD,8746.4,8682.25,64.14999999999964,15.29,>15
2015-03-19,60,2015-03-19 11:34:00,2015-03-19 15:09:00,short,8732.15,8620.549999999997,111.60000000000218,TP,8787.95,8732.15,55.80000000000109,14.59,12-15
2015-03-20,60,2015-03-20 10:45:00,2015-03-20 15:25:00,short,8589.85,8573.9,15.950000000000728,EOD,8627.9,8589.85,38.04999999999927,15.0,12-15
2015-03-23,60,2015-03-23 13:40:00,2015-03-23 15:25:00,short,8560.15,8547.55,12.600000000000364,EOD,8607.9,8560.15,47.75,14.41,12-15
2015-03-24,60,2015-03-24 10:17:00,2015-03-24 15:05:00,long,8582.25,8537.05,-45.20000000000073,SL,8582.25,8537.05,45.20000000000073,13.94,12-15
2015-03-25,60,2015-03-25 10:24:00,2015-03-25 15:25:00,short,8543.35,8527.1,16.25,EOD,8573.45,8543.35,30.100000000000364,13.88,12-15
2015-03-26,60,2015-03-26 10:47:00,2015-03-26 14:34:00,short,8463.45,8392.550000000003,70.89999999999782,TP,8498.9,8463.45,35.44999999999891,13.59,12-15
2015-03-27,60,2015-03-27 10:33:00,2015-03-27 15:25:00,short,8346.0,8342.7,3.2999999999992724,EOD,8411.4,8346.0,65.39999999999964,15.11,>15
2015-03-30,60,2015-03-30 10:38:00,2015-03-30 14:51:00,long,8412.9,8476.299999999997,63.39999999999782,TP,8412.9,8381.2,31.69999999999891,15.11,>15
2015-03-31,60,2015-03-31 12:12:00,2015-03-31 14:20:00,long,8530.0,8500.05,-29.950000000000728,SL,8530.0,8500.05,29.950000000000728,14.41,12-15
2015-04-01,60,2015-04-01 10:18:00,2015-04-01 14:19:00,long,8490.8,8542.399999999998,51.599999999998545,TP,8490.8,8465.0,25.799999999999272,14.46,12-15
2015-04-06,60,2015-04-06 11:37:00,2015-04-06 13:42:00,short,8575.9,8615.8,-39.899999999999636,SL,8615.8,8575.9,39.899999999999636,14.89,12-15
2015-04-07,60,2015-04-07 10:28:00,2015-04-07 15:25:00,short,8655.35,8678.9,-23.549999999999272,EOD,8692.5,8655.35,37.149999999999636,14.75,12-15
2015-04-08,60,2015-04-08 10:15:00,2015-04-08 11:50:00,short,8693.25,8716.25,-23.0,SL,8716.25,8693.25,23.0,14.54,12-15
2015-04-09,60,2015-04-09 13:30:00,2015-04-09 15:25:00,long,8758.9,8778.15,19.25,EOD,8758.9,8682.6,76.29999999999927,14.71,12-15
2015-04-10,60,2015-04-10 11:21:00,2015-04-10 15:02:00,short,8758.95,8781.2,-22.25,SL,8781.2,8758.95,22.25,14.58,12-15
2015-04-13,60,2015-04-13 12:07:00,2015-04-13 15:25:00,long,8801.75,8832.55,30.799999999999272,EOD,8801.75,8762.5,39.25,14.91,12-15
2015-04-15,60,2015-04-15 10:41:00,2015-04-15 15:16:00,short,8804.7,8724.600000000002,80.09999999999854,TP,8844.75,8804.7,40.04999999999927,14.79,12-15
